wi_sample	seq_sample	total_sites	concordant	discordant	concordance_rate
EG6271	PE887	2985	953	2032	0.319262981574539
EG6271	QG2908	1772	890	882	0.502257336343115
EG6271	QG4097	3585	1405	2180	0.391910739191074
EG6271	QG4233	2476	1305	1171	0.527059773828756
EG6271	QX1410	4793	4	4789	0.000834550385979554
EG6271	VT847	1136	427	709	0.375880281690141
JU1346	AF16	4002	1421	2581	0.355072463768116
JU1346	BRC20232	4870	3306	1564	0.678850102669404
JU1346	ECA1657	6385	2203	4182	0.345027407987471
JU1346	ECA2115	1837	762	1075	0.414806750136091
JU1346	ECA2299	1875	1126	749	0.600533333333333
JU1346	ECA2667	3042	1110	1932	0.364891518737673
JU1346	EG6260	4506	1405	3101	0.311806480248558
JU1346	EG6267	3105	913	2192	0.294041867954911
JU1346	EG6271	3948	1268	2680	0.321175278622087
JU1346	JU1346	1575	1568	7	0.995555555555556
JU1346	JU1348	2313	1498	815	0.647643752702119
JU1346	JU2472	7075	2715	4360	0.383745583038869
JU1346	NIC1052	3480	1452	2028	0.417241379310345
JU1346	NIC1645	4492	2938	1554	0.654051647373108
JU1346	NIC1667	4048	2749	1299	0.679100790513834
JU1346	NIC827	2283	1443	840	0.632063074901445
JU1346	NIC828	2261	1447	814	0.639982308712959
JU1346	PE887	4278	1236	3042	0.288920056100982
JU1346	QG2908	2630	1662	968	0.631939163498099
JU1346	QG4097	5005	1540	3465	0.307692307692308
JU1346	QG4233	3589	2431	1158	0.677347450543327
JU1346	QX1410	6625	7	6618	0.00105660377358491
JU1346	VT847	1660	582	1078	0.350602409638554
JU1348	AF16	18432	1264	17168	0.0685763888888889
JU1348	BRC20232	22993	9232	13761	0.401513504109947
JU1348	ECA1657	28028	2098	25930	0.0748537177108606
JU1348	ECA2115	8798	632	8166	0.0718345078426915
JU1348	ECA2299	9647	3218	6429	0.333575204726858
JU1348	ECA2667	14176	941	13235	0.0663797968397291
JU1348	EG6260	19776	1161	18615	0.0587075242718447
JU1348	EG6267	14146	797	13349	0.0563410151279514
JU1348	EG6271	17413	1151	16262	0.0661000401998507
JU1348	JU1346	7935	686	7249	0.0864524259609326
JU1348	JU1348	24124	24086	38	0.998424805173272
JU1348	JU2472	30428	2336	28092	0.0767713947679769
JU1348	NIC1052	15694	1910	13784	0.121702561488467
JU1348	NIC1645	21320	8883	12437	0.416651031894934
JU1348	NIC1667	20009	8334	11675	0.416512569343795
JU1348	NIC827	11080	4306	6774	0.388628158844765
JU1348	NIC828	11275	4174	7101	0.37019955654102
JU1348	PE887	19628	999	18629	0.0508966782147952
JU1348	QG2908	19381	17912	1469	0.924204117434601
JU1348	QG4097	22171	1291	20880	0.0582292183482928
JU1348	QG4233	29148	27306	1842	0.936805269658296
JU1348	QX1410	25315	40	25275	0.00158009085522418
JU1348	VT847	7460	463	6997	0.0620643431635389
JU2472	AF16	2997	1563	1434	0.521521521521522
JU2472	BRC20232	3573	1628	1945	0.455639518611811
JU2472	ECA1657	4909	2071	2838	0.421878182929314
JU2472	ECA2115	1400	757	643	0.540714285714286
JU2472	ECA2299	1448	597	851	0.412292817679558
JU2472	ECA2667	2137	994	1143	0.465138043986898
JU2472	EG6260	3369	1201	2168	0.356485604036806
JU2472	EG6267	2332	992	1340	0.425385934819897
JU2472	EG6271	3069	1092	1977	0.355816226783969
JU2472	JU1346	1039	440	599	0.423484119345525
JU2472	JU1348	1761	808	953	0.458830210107893
JU2472	JU2472	6030	6017	13	0.997844112769486
JU2472	NIC1052	2583	1193	1390	0.461866047231901
JU2472	NIC1645	3246	1388	1858	0.427603203943315
JU2472	NIC1667	2804	1295	1509	0.461840228245364
JU2472	NIC827	1676	711	965	0.424224343675418
JU2472	NIC828	1706	730	976	0.427901524032825
JU2472	PE887	3101	1426	1675	0.459851660754595
JU2472	QG2908	1886	855	1031	0.453340402969247
JU2472	QG4097	3738	1907	1831	0.510165864098448
JU2472	QG4233	2661	1253	1408	0.47087561067268
JU2472	QX1410	5282	4	5278	0.000757288905717531
JU2472	VT847	1231	594	637	0.482534524776605
NIC1052	AF16	4054	1231	2823	0.303650715342871
NIC1052	BRC20232	4835	3029	1806	0.626473629782834
NIC1052	ECA1657	6366	2167	4199	0.340402136349356
NIC1052	ECA2115	2178	614	1564	0.281910009182736
NIC1052	ECA2299	2250	1230	1020	0.546666666666667
NIC1052	ECA2667	3179	922	2257	0.290028310789557
NIC1052	EG6260	4550	1258	3292	0.276483516483517
NIC1052	EG6267	3268	783	2485	0.239596083231334
NIC1052	EG6271	4060	1353	2707	0.333251231527094
NIC1052	JU1346	1657	527	1130	0.31804465902233
NIC1052	JU1348	2511	1587	924	0.632019115890084
NIC1052	JU2472	6937	2585	4352	0.372639469511316
NIC1052	NIC1052	4169	4155	14	0.996641880546894
NIC1052	NIC1645	4480	2709	1771	0.6046875
NIC1052	NIC1667	4127	2460	1667	0.596074630482191
NIC1052	NIC827	2316	1429	887	0.617012089810017
NIC1052	NIC828	2544	1549	995	0.608883647798742
NIC1052	PE887	4380	880	3500	0.200913242009132
NIC1052	QG2908	2717	1642	1075	0.604343025395657
NIC1052	QG4097	5048	1448	3600	0.286846275752773
NIC1052	QG4233	3677	2332	1345	0.634212673375034
NIC1052	QX1410	6528	8	6520	0.00122549019607843
NIC1052	VT847	1959	512	1447	0.261357835630424
NIC1645	AF16	12921	1330	11591	0.102933209503908
NIC1645	BRC20232	16318	10042	6276	0.61539404338767
NIC1645	ECA1657	20017	2142	17875	0.107009042314033
NIC1645	ECA2115	6099	654	5445	0.107230693556321
NIC1645	ECA2299	6974	6441	533	0.923573272153714
NIC1645	ECA2667	9795	997	8798	0.101786625829505
NIC1645	EG6260	14078	1194	12884	0.0848131836908652
NIC1645	EG6267	9826	846	8980	0.0860981070628944
NIC1645	EG6271	12259	1241	11018	0.101231748103434
NIC1645	JU1346	5229	691	4538	0.132147638171735
NIC1645	JU1348	7812	4868	2944	0.623143881208397
NIC1645	JU2472	21846	2347	19499	0.107433855167994
NIC1645	NIC1052	10843	1945	8898	0.179378400811584
NIC1645	NIC1645	20278	20242	36	0.998224676989841
NIC1645	NIC1667	17715	16961	754	0.957437200112899
NIC1645	NIC827	7688	4689	2999	0.609911550468262
NIC1645	NIC828	7673	4437	3236	0.578261436204874
NIC1645	PE887	13863	1094	12769	0.0789150977421915
NIC1645	QG2908	8608	5136	3472	0.596654275092937
NIC1645	QG4097	15811	1329	14482	0.0840554044652457
NIC1645	QG4233	12213	7509	4704	0.614836649471874
NIC1645	QX1410	18485	22	18463	0.00119015417906411
NIC1645	VT847	5349	484	4865	0.0904842026547018
NIC1667	AF16	12872	1309	11563	0.10169359850839
NIC1667	BRC20232	16285	10068	6217	0.618237642001842
NIC1667	ECA1657	19921	2117	17804	0.106269765574017
NIC1667	ECA2115	6079	671	5408	0.110379996709985
NIC1667	ECA2299	6996	6458	538	0.923098913664951
NIC1667	ECA2667	9746	997	8749	0.102298378822081
NIC1667	EG6260	14030	1208	12822	0.0861012116892374
NIC1667	EG6267	9807	846	8961	0.0862649128173753
NIC1667	EG6271	12211	1267	10944	0.103758905904512
NIC1667	JU1346	5236	709	4527	0.135408708938121
NIC1667	JU1348	7759	4844	2915	0.624307256089702
NIC1667	JU2472	21720	2364	19356	0.108839779005525
NIC1667	NIC1052	10845	1949	8896	0.179714153988013
NIC1667	NIC1645	19119	18400	719	0.962393430618756
NIC1667	NIC1667	18901	18860	41	0.997830802603037
NIC1667	NIC827	7655	4692	2963	0.612932723709994
NIC1667	NIC828	7639	4428	3211	0.579657023170572
NIC1667	PE887	13840	1081	12759	0.078106936416185
NIC1667	QG2908	8573	5123	3450	0.597573778140674
NIC1667	QG4097	15746	1309	14437	0.0831322240569033
NIC1667	QG4233	12179	7519	4660	0.617374168650957
NIC1667	QX1410	18384	18	18366	0.00097911227154047
NIC1667	VT847	5335	483	4852	0.0905342080599813
NIC827	AF16	11953	1265	10688	0.105831172090689
NIC827	BRC20232	19433	18830	603	0.968970308238563
NIC827	ECA1657	18898	2145	16753	0.113504074505239
NIC827	ECA2115	5826	671	5155	0.11517336079643
NIC827	ECA2299	6016	3525	2491	0.5859375
NIC827	ECA2667	9284	1002	8282	0.10792761740629
NIC827	EG6260	13256	1203	12053	0.0907513578756789
NIC827	EG6267	9420	852	8568	0.0904458598726115
NIC827	EG6271	11650	1302	10348	0.111759656652361
NIC827	JU1346	5061	755	4306	0.149180003951788
NIC827	JU1348	7772	4969	2803	0.639346371590324
NIC827	JU2472	20339	2374	17965	0.116721569398692
NIC827	NIC1052	10237	2025	8212	0.19781185894305
NIC827	NIC1645	14467	9563	4904	0.661021635446188
NIC827	NIC1667	13308	8980	4328	0.67478208596333
NIC827	NIC827	9413	9383	30	0.996812918304473
NIC827	NIC828	8315	7566	749	0.909921828021648
NIC827	PE887	12941	1019	11922	0.0787419828452206
NIC827	QG2908	8168	5174	2994	0.633447600391773
NIC827	QG4097	14783	1340	13443	0.0906446594060746
NIC827	QG4233	11478	7423	4055	0.646715455654295
NIC827	QX1410	17346	16	17330	0.000922402859448864
NIC827	VT847	5086	527	4559	0.103617774282344
NIC828	AF16	11686	1270	10416	0.108677049460893
NIC828	BRC20232	18333	17203	1130	0.938362515682103
NIC828	ECA1657	18438	2179	16259	0.118179845970279
NIC828	ECA2115	5696	668	5028	0.117275280898876
NIC828	ECA2299	5838	3544	2294	0.607057211373758
NIC828	ECA2667	9054	1018	8036	0.112436492158162
NIC828	EG6260	12967	1195	11772	0.0921570139585101
NIC828	EG6267	9255	840	8415	0.0907617504051864
NIC828	EG6271	11384	1310	10074	0.115073787772312
NIC828	JU1346	4874	759	4115	0.155724251128437
NIC828	JU1348	7623	4958	2665	0.650400104945559
NIC828	JU2472	19895	2403	17492	0.120784116612214
NIC828	NIC1052	10051	2045	8006	0.203462342055517
NIC828	NIC1645	14261	9688	4573	0.67933524998247
NIC828	NIC1667	13129	9122	4007	0.694797775915911
NIC828	NIC827	8437	7908	529	0.937299988147446
NIC828	NIC828	8857	8829	28	0.996838658688043
NIC828	PE887	12697	1051	11646	0.0827754587697881
NIC828	QG2908	8010	5132	2878	0.640699126092385
NIC828	QG4097	14534	1361	13173	0.0936424934636026
NIC828	QG4233	11301	7469	3832	0.660914963277586
NIC828	QX1410	16986	16	16970	0.000941952195926057
NIC828	VT847	4977	543	4434	0.109101868595539
